[00:00]  Sottotitoli creati dalla comunità Amara.org
[00:30]  Sono Paola Contardi, psicologa, psicoterapeuta, psicologa dello sport e inizierò questa seconda parte.
[00:39]  In questa seconda parte tratteremo lo sviluppo cognitivo, emotivo ed affettivo, la costruzione dell'autostima e la gestione del singolo e del gruppo.
[00:52]  Il primo argomento è appunto quello relativo allo sviluppo cognitivo, emotivo ed affettivo.
[00:58]  Quando si parla di sviluppo cognitivo, emotivo ed affettivo si fa riferimento ad un processo dinamico costituito da svariati cambiamenti in ognuna delle fasi della vita che avranno implicazioni fondamentali per il futuro adulto.
[01:15]  Gli studi ci dicono che individuo e ambiente sono strettamente correlati, infatti con il termine di sviluppo si intende proprio lo studio dei diversi aspetti della personalità e di come questi si modificano e si integreno in relazione non solo a fattori biologici ma anche a quelli ambientali in tutto l'arco della vita di un individuo.
[01:41]  Non è un caso infatti che gli aspetti cognitivo, emotivo, affettivo, sociali e relazionali siano strettamente interconnessi ed interdipendenti.
[01:54]  Durante i primi anni di vita il cervello umano è alla ricerca di stimoli esperenziali ed è grazie alla sua considerevole plasticità che l'organismo in via di sviluppo e l'ambiente possano adattarsi ed armonizzarsi insieme.
[02:12]  Da un punto di vista neuropsychologico molti sono gli studi che hanno messo in evidenza quanto sia importante la relazione di attaccamento inizialmente con la mamma e successivamente con chi opera in ambito educativo.
[02:29]  Ma anche quanto i traumi subiti dai bambini durante le fasi pregoci della loro vita siano causa di un non corretto sviluppo cerebrale e quindi cause a loro volta di comportamenti psichicamente deviati.
[02:46]  Gli studi di Bowlby e Winnicott hanno messo in evidenza che l'ambiente pregoce è sostanzialmente un ambiente sociale e che in giovanissima età l'oggetto sociale primario che aiuta a mediare l'approccio con l'ambiente esterno è costituito dalla madre.
[03:06]  Molti sono stati gli autori che hanno contribuito a definire lo sviluppo cognitivo nelle varie fasi di crescita del bambino.
[03:14]  Per piacere, l'intelligenza è il risultato dell'interazione tra l'organismo e l'ambiente. Vygotsky affermò che le varie funzioni psichiche dell'essere umano sono dipendenti dalla rete di quei fattori sociali e culturali nei quali cresce e si sviluppa il bambino.
[03:34]  Bowlby affermò che per la salute psicologica del bambino è essenziale che questi faccia esperienza di una relazione continuativa, intima, calda con la propria madre o con lei che rappresenta la figura materna.
[03:51]  Pertanto, le esperienze del bambino con la figura genitoriale e con le persone significative del suo mondo portano alla formazione di quei modelli mentali del sé che svilupperà da adulto e che faranno da filtro nei futuri processi di elaborazione delle informazioni.
[04:11]  Infine, Bruner nella sua ricerca studia la percezione come un processo cognitivo che proviene dall'interno del soggetto e che risulta influenzato dai valori, dalle motivazioni e dalle credenze del soggetto stesso.
[04:29]  Secondo Bruner l'attività umana è finalizzata e diretta ad uno scopo ed è un processo di attribuzione di significati. Gli strumenti per raggiungere questi scopi vanno costruiti tramite l'utilizzo del linguaggio e tramite gli insegnamenti su come vanno fatte le cose.
[04:51]  Lo sviluppo affettivo e quello emotivo sono considerati aspetti del funzionamento umano incindibili l'uno dall'altro e a loro volta si intrecciano con lo sviluppo cognitivo.
[05:04]  Lo sviluppo emotivo si associa alle tappe formulate dallo studio dello sviluppo cognitivo elaborato da Jean Piaget.
[05:13]  Le emozioni sono poi influenzate da reazione a quegli stessi eventi che la figura più significativa per il bambino ha vissuto e che con i suoi comportamenti verbali trasmette al bambino stesso.
[05:31]  L'espressione delle emozioni non ha solo la funzione di comunicare agli altri uno stato interno e di preparare l'organismo all'azione, ma contribuisce a quel processo di negoziazione tra gli individui che più o meno consapevolmente avviene sempre all'interno dell'interazione sociale che è bidirezionale.
[05:55]  Le emozioni e la loro regolazione sono l'esito dell'intreccio tra le componenti cognitive ed emotive che riguardano due o più persone coinvolte in una relazione.
[06:08]  Ma che ruolo ha lo sport nello sviluppo dell'individuo? Lavorare con tutti gli stimoli sensoriali previsti nella nuova cultura dell'acqua aiuta molto lo sviluppo di quelle capacità motorie a far sì che il bambino possa acquisire con gradualità e competenza motoria la capacità natatoria necessaria a far sì che acquisisca un senso di sicurezza e benessere in acqua.
[06:37]  E solo successivamente, qualora lo desideri, diventare un buon nuotatore oppure un atleta agonista.
[06:46]  È importante che l'istruttore sappia che il miglioramento delle capacità sensopercettive si ottiene proponendo attività che richiedono l'uso degli analizzatori.
[06:58]  Attraverso le proposte didattiche è importante soddisfare la curiosità per favorire lo sviluppo cognitivo, stimolare la capacità di iniziativa e di scelta per promuovere l'aspetto emotivo,
[07:14]  proporre le attività in un clima di partecipazione e fiducia per sviluppare gli aspetti sociali ed affettivi e anche in forma adeguata, gratificante e ludica al fine di favorire lo sviluppo dell'autostima.
[07:31]  E è la costruzione dell'autostima il nostro secondo argomento. L'autostima è l'insieme dei giudizi valutativi che l'individuo dà di se stesso e può essere costruita giorno dopo giorno attraverso una serie di strategie.
[07:50]  Considerando quanto scritto nella letteratura scientifica, sono tre gli elementi fondamentali che ricorrono in tutte le definizioni di autostima.
[08:02]  La presenza nell'individuo di un sistema che consente di autoosservarsi e quindi di autoconoscersi.
[08:10]  L'aspetto valutativo che permette un giudizio generale di se stessi e l'aspetto affettivo che permette di valutare e considerare in modo positivo o negativo gli elementi descritti.
[08:25]  Ma l'autostima non emerge esclusivamente da fattori interni individuali ma dai confronti che l'individuo fa più o meno consapevolmente con l'ambiente nel quale vive.
[08:38]  A costituire il processo di formazione dell'autostima vi sono due componenti, il se reale e il se ideale.
[08:47]  Il se reale corrisponde a ciò che noi realmente siamo, mentre il se ideale corrisponde a come vorremmo essere.
[08:58]  Maggiore sarà la discrepanza tra ciò che si è e ciò che si vorrebbe essere, minore sarà la stima in noi stessi.
[09:06]  Chi possiede un alto grado di autostima sa riconoscere in modo realistico di avere pregi e difetti, di apprezzare i propri punti di forza ed impegnarsi a migliorare i propri limiti.
[09:22]  Mostrano di avere una maggiore perseveranza nel raggiungere obiettivi e riescono a relativizzare gli insuccessi.
[09:33]  Chi invece ha una bassa autostima tende a riconoscere esclusivamente le proprie debolezze e a trascurare allo stesso tempo i propri punti di forza.
[09:45]  Si arrende più facilmente nel caso debba raggiungere un obiettivo, soprattutto se si trovano a confrontarsi con pareri contrari a ciò che pensano oppure se incontrano delle difficoltà.
[10:00]  L'autostima è quindi il fondamento su cui qualsiasi bambino costruisce il proprio benessere e va considerata la chiave dei successi in età adulta.
[10:12]  Per aiutarli a sviluppare l'autostima è importante contribuire a far maturare la loro comprensione di quelli che possono essere sia i punti di forza che i punti di debolezza.
[10:27]  Pertanto, da parte degli istruttori, è importante avere la consapevolezza del proprio ruolo nel costruire con l'educazione l'autostima del bambino.
[10:38]  L'autostima può essere messa in relazione al grado di autonomia e al senso di autoefficacia dell'individuo.
[10:47]  Pertanto, l'istruttore dovrebbe considerare per ciascun allievo il suo grado di autonomia che naturalmente varia notevolmente con l'età e quindi proporre attività che facciano riferimento all'autonomia stessa.
[11:06]  In questo modo è possibile creare un clima educativo all'interno del quale sia costantemente presente la possibilità di dare rinforzi, che tanto sono importanti, nel costruire il senso dell'autoefficacia.
[11:23]  Pensiamo ad un allievo che riesce ad eseguire per la prima volta un esercizio in acqua. L'istruttore, nel sottolineare il successo, andrà a rinforzare il senso dell'autoefficacia del bambino stesso.
[11:38]  Il rinforzo dunque aiuta il bambino a rendersi consapevole dei propri punti di forza e a considerare i suoi limiti come margini di miglioramento.
[11:50]  Pertanto, l'incoraggiamento è il modo migliore affinché il bambino sviluppi il cosiddetto dialogo interno positivo, sviluppando una modalità di autoincoraggiamento che lo aiuterà nel percorso di crescita.
[12:07]  Di fronte alle difficoltà, sarà in grado di fare riferimento alle sue potenzialità dicendo a se stesso, ce la posso fare, io valgo, posso affrontare questa difficoltà.
[12:20]  L'autostima si sviluppa in base a ciò che il bambino pensa di se stesso, ed il modo migliore per incrementarla è aiutare il bambino stesso a sviluppare un modo di pensare che abbia come caratteristica appunto l'autoincoraggiamento.
[12:38]  Per l'istruttore è importante sapere che con i più piccoli è molto importante il momento del gioco, ed impostare quindi una didattica ludica affinché attraverso il gioco si possa costruire convinzioni razionali come
[12:55]  io valgo anche se a qualcuno non piace ciò che io faccio, si può essere amici anche quando non si vogliono fare le stesse cose, alcuni sono gentili con me, altri a volte si comportano male.
[13:10]  In sintesi, è importante per l'istruttore sapere quali siano i comportamenti più adatti per migliorare la crescita dell'autostima dei propri allievi.
[13:21]  Favorire un clima di accettazione dei propri limiti e delle difficoltà che si possono incontrare, incentivare gli allievi ad aiutarsi tra di loro, comprendere le peculiarità di ciascuno mostrando un atteggiamento di accettazione,
[13:39]  utilizzare la critica costruttiva per correggere gli errori, valorizzare le esperienze positive, supportare il proprio allievo nei momenti di difficoltà, mostrare interessamento, criticare il comportamento e mai la persona.
[14:00]  Sarebbe estremamente utile costruire un rapporto di collaborazione con i genitori per sensibilizzarli ad adottare i comportamenti utili a costruire l'autostima dei propri figli.
[14:14]  Per concludere, aiutare i bambini a sviluppare talenti e ad acquisire competenze è un momento fondamentale sia nel rapporto tra insegnante ed allievo che nel rapporto tra genitore e figlio.
[14:29]  È un momento basato su un equilibrio tra spinta e protezione. Da un lato è necessario incentivare il bambino a cimentarsi con nuove attività, dall'altro occorre proteggerlo da aspettative non realistiche per non compromettere la sua autostima.
[14:49]  Pertanto gli obiettivi didattici dovrebbero essere costruiti in modo che l'allievo possa considerarli raggiungibili seppur con il giusto grado di fatica ed impegno.
[15:02]  Passiamo ora alla terza lezione, anzi al terzo argomento, che è la gestione del singolo e del gruppo.
